Province,scenario,statistic,overlap_n,rx1day_history_mean,rx1day_external_mean,additive_bias
天津,ssp245,p10,9,73.60385309888889,32.89111111111111,40.712741987777775
天津,ssp245,p90,9,73.60385309888889,79.96333333333332,-6.359480234444444
天津,ssp370,median,9,73.60385309888889,52.73111111111111,20.87274198777778
天津,ssp370,p10,9,73.60385309888889,31.514444444444443,42.08940865444444
天津,ssp370,p90,9,73.60385309888889,86.17777777777778,-12.57392467888889
天津,ssp585,median,9,73.60385309888889,56.08777777777778,17.51607532111111
天津,ssp585,p10,9,73.60385309888889,34.90111111111111,38.70274198777778
天津,ssp585,p90,9,73.60385309888889,86.29,-12.686146901111114
宁夏,ssp119,median,9,23.866198525555557,28.66,-4.793801474444445
宁夏,ssp119,p10,9,23.866198525555557,17.975555555555555,5.890642969999999
宁夏,ssp119,p90,9,23.866198525555557,45.01555555555555,-21.14935703
宁夏,ssp126,median,9,23.866198525555557,28.776666666666667,-4.910468141111112
宁夏,ssp126,p10,9,23.866198525555557,18.49,5.376198525555555
宁夏,ssp126,p90,9,23.866198525555557,44.50222222222222,-20.63602369666667
宁夏,ssp245,median,9,23.866198525555557,28.96888888888889,-5.102690363333334
宁夏,ssp245,p10,9,23.866198525555557,18.325555555555557,5.5406429699999995
宁夏,ssp245,p90,9,23.866198525555557,44.76444444444444,-20.89824591888889
宁夏,ssp370,median,9,23.866198525555557,28.776666666666667,-4.910468141111112
宁夏,ssp370,p10,9,23.866198525555557,17.083333333333332,6.782865192222222
宁夏,ssp370,p90,9,23.866198525555557,46.621111111111105,-22.754912585555555
宁夏,ssp585,median,9,23.866198525555557,29.66222222222222,-5.7960236966666665
宁夏,ssp585,p10,9,23.866198525555557,18.61888888888889,5.2473096366666665
宁夏,ssp585,p90,9,23.866198525555557,47.56666666666667,-23.70046814111111
安徽,ssp119,median,9,51.678974886666666,61.32777777777778,-9.64880289111111
安徽,ssp119,p10,9,51.678974886666666,41.05,10.628974886666668
安徽,ssp119,p90,9,51.678974886666666,90.77111111111111,-39.092136224444445
安徽,ssp126,median,9,51.678974886666666,62.162222222222226,-10.483247335555554
安徽,ssp126,p10,9,51.678974886666666,42.69888888888889,8.98008599777778
安徽,ssp126,p90,9,51.678974886666666,91.45666666666666,-39.77769178
安徽,ssp245,median,9,51.678974886666666,61.86333333333333,-10.184358446666664
安徽,ssp245,p10,9,51.678974886666666,41.22555555555555,10.453419331111114
安徽,ssp245,p90,9,51.678974886666666,90.02222222222223,-38.34324733555555
安徽,ssp370,median,9,51.678974886666666,61.35666666666667,-9.677691779999998
安徽,ssp370,p10,9,51.678974886666666,39.525555555555556,12.153419331111113
安徽,ssp370,p90,9,51.678974886666666,94.96333333333332,-43.284358446666666
安徽,ssp585,median,9,51.678974886666666,62.471111111111114,-10.792136224444443
安徽,ssp585,p10,9,51.678974886666666,41.471111111111114,10.207863775555557
安徽,ssp585,p90,9,51.678974886666666,92.0411111111111,-40.36213622444444
山东,ssp119,median,9,55.94470079222222,53.31444444444444,2.6302563477777774
山东,ssp119,p10,9,55.94470079222222,34.43666666666667,21.508034125555554
山东,ssp119,p90,9,55.94470079222222,81.55111111111111,-25.60641031888889
山东,ssp126,median,9,55.94470079222222,53.77111111111111,2.1735896811111086
山东,ssp126,p10,9,55.94470079222222,34.84,21.104700792222218
山东,ssp126,p90,9,55.94470079222222,80.75777777777778,-24.813076985555554
山东,ssp245,median,9,55.94470079222222,53.642222222222216,2.3024785699999986
山东,ssp245,p10,9,55.94470079222222,34.66888888888889,21.275811903333334
山东,ssp245,p90,9,55.94470079222222,82.35888888888888,-26.414188096666667
山东,ssp370,median,9,55.94470079222222,53.08111111111111,2.8635896811111095
山东,ssp370,p10,9,55.94470079222222,33.32111111111111,22.62358968111111
山东,ssp370,p90,9,55.94470079222222,84.04222222222222,-28.097521430000004
山东,ssp585,median,9,55.94470079222222,55.2,0.7447007922222212
山东,ssp585,p10,9,55.94470079222222,35.84777777777778,20.096923014444442
山东,ssp585,p90,9,55.94470079222222,84.03333333333333,-28.088632541111114
山西,ssp119,median,9,31.315724182222223,38.556666666666665,-7.240942484444442
山西,ssp119,p10,9,31.315724182222223,25.544444444444444,5.771279737777778
山西,ssp119,p90,9,31.315724182222223,58.5488888888889,-27.233164706666667
山西,ssp126,median,9,31.315724182222223,39.07333333333334,-7.757609151111112
山西,ssp126,p10,9,31.315724182222223,25.781111111111112,5.534613071111112
山西,ssp126,p90,9,31.315724182222223,58.61555555555555,-27.299831373333333
山西,ssp245,median,9,31.315724182222223,39.01222222222222,-7.696498039999999
山西,ssp245,p10,9,31.315724182222223,26.465555555555554,4.850168626666668
山西,ssp245,p90,9,31.315724182222223,58.49666666666667,-27.180942484444444
山西,ssp370,median,9,31.315724182222223,38.06,-6.744275817777778
山西,ssp370,p10,9,31.315724182222223,24.304444444444446,7.011279737777778
山西,ssp370,p90,9,31.315724182222223,61.49777777777778,-30.18205359555556
山西,ssp585,median,9,31.315724182222223,39.76555555555555,-8.449831373333334
山西,ssp585,p10,9,31.315724182222223,26.200000000000003,5.115724182222222
山西,ssp585,p90,9,31.315724182222223,59.24111111111111,-27.925386928888887
广东,ssp119,median,9,58.600875263333336,64.99777777777778,-6.396902514444445
