Province,scenario,statistic,overlap_n,history_value_mean,external_value_mean,additive_bias
河南,ssp585,median,9,15.71424805888889,15.608888888888888,0.10535917000000003
河南,ssp585,p10,9,15.71424805888889,14.714444444444446,0.9998036144444442
河南,ssp585,p90,9,15.71424805888889,16.54222222222222,-0.8279741633333335
浙江,ssp119,median,9,17.028365178888887,17.752222222222223,-0.7238570433333338
浙江,ssp119,p10,9,17.028365178888887,16.974444444444444,0.05392073444444476
浙江,ssp119,p90,9,17.028365178888887,18.52,-1.491634821111112
浙江,ssp126,median,9,17.028365178888887,17.837777777777777,-0.8094125988888893
浙江,ssp126,p10,9,17.028365178888887,17.016666666666666,0.011698512222222254
浙江,ssp126,p90,9,17.028365178888887,18.62777777777778,-1.5994125988888888
浙江,ssp245,median,9,17.028365178888887,17.787777777777777,-0.7594125988888886
浙江,ssp245,p10,9,17.028365178888887,17.061111111111114,-0.03274593222222282
浙江,ssp245,p90,9,17.028365178888887,18.515555555555554,-1.4871903766666665
浙江,ssp370,median,9,17.028365178888887,17.636666666666667,-0.6083014877777779
浙江,ssp370,p10,9,17.028365178888887,16.814444444444444,0.2139207344444445
浙江,ssp370,p90,9,17.028365178888887,18.47,-1.441634821111111
浙江,ssp585,median,9,17.028365178888887,17.883333333333333,-0.8549681544444448
浙江,ssp585,p10,9,17.028365178888887,17.043333333333333,-0.01496815444444424
浙江,ssp585,p90,9,17.028365178888887,18.67111111111111,-1.6427459322222226
海南,ssp119,median,9,24.87807268111111,24.806666666666665,0.07140601444444489
海南,ssp119,p10,9,24.87807268111111,24.23888888888889,0.6391837922222218
海南,ssp119,p90,9,24.87807268111111,25.384444444444444,-0.5063717633333332
海南,ssp126,median,9,24.87807268111111,24.86888888888889,0.0091837922222228
海南,ssp126,p10,9,24.87807268111111,24.27777777777778,0.6002949033333331
海南,ssp126,p90,9,24.87807268111111,25.48111111111111,-0.60303843
海南,ssp245,median,9,24.87807268111111,24.81888888888889,0.059183792222222725
海南,ssp245,p10,9,24.87807268111111,24.266666666666666,0.6114060144444444
海南,ssp245,p90,9,24.87807268111111,25.439999999999998,-0.561927318888888
海南,ssp370,median,9,24.87807268111111,24.746666666666666,0.13140601444444477
海南,ssp370,p10,9,24.87807268111111,24.12222222222222,0.7558504588888897
海南,ssp370,p90,9,24.87807268111111,25.354444444444443,-0.47637176333333364
海南,ssp585,median,9,24.87807268111111,24.892222222222223,-0.014149541111110627
海南,ssp585,p10,9,24.87807268111111,24.30777777777778,0.5702949033333332
海南,ssp585,p90,9,24.87807268111111,25.439999999999998,-0.561927318888888
湖北,ssp119,median,9,16.398830946666667,16.265555555555554,0.13327539111111086
湖北,ssp119,p10,9,16.398830946666667,15.505555555555556,0.8932753911111109
湖北,ssp119,p90,9,16.398830946666667,17.08555555555556,-0.686724608888889
湖北,ssp126,median,9,16.398830946666667,16.32888888888889,0.0699420577777775
湖北,ssp126,p10,9,16.398830946666667,15.598888888888887,0.7999420577777777
湖北,ssp126,p90,9,16.398830946666667,17.13222222222222,-0.7333912755555555
湖北,ssp245,median,9,16.398830946666667,16.290000000000003,0.10883094666666654
湖北,ssp245,p10,9,16.398830946666667,15.576666666666666,0.8221642799999996
湖北,ssp245,p90,9,16.398830946666667,17.09777777777778,-0.6989468311111112
湖北,ssp370,median,9,16.398830946666667,16.16777777777778,0.23105316888888774
湖北,ssp370,p10,9,16.398830946666667,15.314444444444446,1.084386502222222
湖北,ssp370,p90,9,16.398830946666667,17.036666666666665,-0.63783572
湖北,ssp585,median,9,16.398830946666667,16.406666666666666,-0.007835719999999805
湖北,ssp585,p10,9,16.398830946666667,15.596666666666668,0.80216428
湖北,ssp585,p90,9,16.398830946666667,17.284444444444446,-0.8856134977777774
湖南,ssp119,median,9,17.717033742222224,18.0,-0.28296625777777806
湖南,ssp119,p10,9,17.717033742222224,17.214444444444446,0.5025892977777784
湖南,ssp119,p90,9,17.717033742222224,18.81222222222222,-1.0951884799999998
湖南,ssp126,median,9,17.717033742222224,18.054444444444446,-0.3374107022222219
湖南,ssp126,p10,9,17.717033742222224,17.296666666666667,0.4203670755555559
湖南,ssp126,p90,9,17.717033742222224,18.876666666666665,-1.1596329244444439
湖南,ssp245,median,9,17.717033742222224,18.022222222222222,-0.3051884800000002
湖南,ssp245,p10,9,17.717033742222224,17.31222222222222,0.40481152000000026
湖南,ssp245,p90,9,17.717033742222224,18.83,-1.112966257777778
湖南,ssp370,median,9,17.717033742222224,17.916666666666668,-0.19963292444444392
湖南,ssp370,p10,9,17.717033742222224,16.99,0.7270337422222224
湖南,ssp370,p90,9,17.717033742222224,18.79222222222222,-1.0751884799999993
湖南,ssp585,median,9,17.717033742222224,18.13111111111111,-0.41407736888888913
湖南,ssp585,p10,9,17.717033742222224,17.316666666666666,0.40036707555555595
湖南,ssp585,p90,9,17.717033742222224,18.95111111111111,-1.234077368888889
甘肃,ssp119,median,9,5.735558384666667,6.475555555555555,-0.7399971708888888
甘肃,ssp119,p10,9,5.735558384666667,5.712222222222222,0.023336162444444537
甘肃,ssp119,p90,9,5.735558384666667,7.2155555555555555,-1.4799971708888888
甘肃,ssp126,median,9,5.735558384666667,6.495555555555556,-0.7599971708888889
甘肃,ssp126,p10,9,5.735558384666667,5.756666666666667,-0.021108281999999947
甘肃,ssp126,p90,9,5.735558384666667,7.251111111111111,-1.5155527264444446
甘肃,ssp245,median,9,5.735558384666667,6.507777777777778,-0.7722193931111111
甘肃,ssp245,p10,9,5.735558384666667,5.773333333333333,-0.03777494866666656
甘肃,ssp245,p90,9,5.735558384666667,7.246666666666666,-1.5111082819999997
甘肃,ssp370,median,9,5.735558384666667,6.424444444444444,-0.6888860597777778
甘肃,ssp370,p10,9,5.735558384666667,5.604444444444444,0.1311139402222222
甘肃,ssp370,p90,9,5.735558384666667,7.187777777777778,-1.4522193931111111
甘肃,ssp585,median,9,5.735558384666667,6.621111111111111,-0.8855527264444445
甘肃,ssp585,p10,9,5.735558384666667,5.768888888888889,-0.0333305042222222
甘肃,ssp585,p90,9,5.735558384666667,7.377777777777778,-1.6422193931111113
福建,ssp119,median,9,19.166406802222223,19.82888888888889,-0.6624820866666666
福建,ssp119,p10,9,19.166406802222223,19.06888888888889,0.09751791333333336
福建,ssp119,p90,9,19.166406802222223,20.526666666666667,-1.3602598644444446
福建,ssp126,median,9,19.166406802222223,19.901111111111113,-0.7347043088888887
福建,ssp126,p10,9,19.166406802222223,19.153333333333332,0.013073468888889531
福建,ssp126,p90,9,19.166406802222223,20.628888888888888,-1.4624820866666666
福建,ssp245,median,9,19.166406802222223,19.857777777777777,-0.6913709755555553
福建,ssp245,p10,9,19.166406802222223,19.124444444444446,0.04196235777777741
福建,ssp245,p90,9,19.166406802222223,20.55333333333333,-1.3869265311111105
福建,ssp370,median,9,19.166406802222223,19.736666666666665,-0.5702598644444438
福建,ssp370,p10,9,19.166406802222223,18.903333333333332,0.2630734688888887
福建,ssp370,p90,9,19.166406802222223,20.47111111111111,-1.3047043088888879
福建,ssp585,median,9,19.166406802222223,19.933333333333334,-0.7669265311111104
福建,ssp585,p10,9,19.166406802222223,19.125555555555554,0.04085124666666692
福建,ssp585,p90,9,19.166406802222223,20.64888888888889,-1.4824820866666666
