Province,Year,scenario,statistic,rx1day,additive_bias,overlap_n,rx1day_aligned
陕西,2031,ssp119,p90,63.63,-34.21799522222222,9,29.41200477777778
陕西,2032,ssp119,p90,62.21,-34.21799522222222,9,27.99200477777778
陕西,2033,ssp119,p90,60.92,-34.21799522222222,9,26.70200477777778
陕西,2034,ssp119,p90,61.75,-34.21799522222222,9,27.53200477777778
陕西,2035,ssp119,p90,58.89,-34.21799522222222,9,24.67200477777778
陕西,2036,ssp119,p90,60.29,-34.21799522222222,9,26.072004777777778
陕西,2037,ssp119,p90,60.05,-34.21799522222222,9,25.832004777777776
陕西,2038,ssp119,p90,58.37,-34.21799522222222,9,24.152004777777776
陕西,2039,ssp119,p90,60.31,-34.21799522222222,9,26.09200477777778
陕西,2040,ssp119,p90,59.64,-34.21799522222222,9,25.42200477777778
陕西,2041,ssp119,p90,60.15,-34.21799522222222,9,25.932004777777777
陕西,2042,ssp119,p90,58.83,-34.21799522222222,9,24.612004777777777
陕西,2043,ssp119,p90,61.45,-34.21799522222222,9,27.23200477777778
陕西,2044,ssp119,p90,59.08,-34.21799522222222,9,24.862004777777777
陕西,2045,ssp119,p90,59.39,-34.21799522222222,9,25.17200477777778
陕西,2046,ssp119,p90,59.22,-34.21799522222222,9,25.002004777777778
陕西,2047,ssp119,p90,59.72,-34.21799522222222,9,25.502004777777778
陕西,2048,ssp119,p90,58.45,-34.21799522222222,9,24.23200477777778
陕西,2049,ssp119,p90,58.44,-34.21799522222222,9,24.222004777777776
陕西,2050,ssp119,p90,58.73,-34.21799522222222,9,24.512004777777776
山东,2024,ssp119,p90,83.64,-25.60641031888889,9,58.03358968111111
山东,2025,ssp119,p90,79.82,-25.60641031888889,9,54.2135896811111
山东,2026,ssp119,p90,80.9,-25.60641031888889,9,55.293589681111115
山东,2027,ssp119,p90,79.9,-25.60641031888889,9,54.293589681111115
山东,2028,ssp119,p90,78.66,-25.60641031888889,9,53.053589681111106
山东,2029,ssp119,p90,80.59,-25.60641031888889,9,54.98358968111111
山东,2030,ssp119,p90,78.38,-25.60641031888889,9,52.773589681111105
山东,2031,ssp119,p90,79.42,-25.60641031888889,9,53.81358968111111
山东,2032,ssp119,p90,83.35,-25.60641031888889,9,57.743589681111104
山东,2033,ssp119,p90,78.56,-25.60641031888889,9,52.95358968111111
山东,2034,ssp119,p90,82.51,-25.60641031888889,9,56.903589681111114
山东,2035,ssp119,p90,76.16,-25.60641031888889,9,50.553589681111106
山东,2036,ssp119,p90,81.17,-25.60641031888889,9,55.56358968111111
山东,2037,ssp119,p90,79.42,-25.60641031888889,9,53.81358968111111
山东,2038,ssp119,p90,83.34,-25.60641031888889,9,57.73358968111111
山东,2039,ssp119,p90,80.78,-25.60641031888889,9,55.17358968111111
山东,2040,ssp119,p90,78.04,-25.60641031888889,9,52.433589681111116
山东,2041,ssp119,p90,76.29,-25.60641031888889,9,50.683589681111116
山东,2042,ssp119,p90,77.43,-25.60641031888889,9,51.823589681111116
山东,2043,ssp119,p90,78.79,-25.60641031888889,9,53.183589681111116
山东,2044,ssp119,p90,79.47,-25.60641031888889,9,53.86358968111111
山东,2045,ssp119,p90,77.86,-25.60641031888889,9,52.25358968111111
山东,2046,ssp119,p90,76.49,-25.60641031888889,9,50.883589681111104
山东,2047,ssp119,p90,79.21,-25.60641031888889,9,53.6035896811111
山东,2048,ssp119,p90,74.52,-25.60641031888889,9,48.913589681111105
山东,2049,ssp119,p90,79.28,-25.60641031888889,9,53.67358968111111
山东,2050,ssp119,p90,75.21,-25.60641031888889,9,49.6035896811111
上海,2024,ssp119,p90,82.59,11.197444154444446,9,93.78744415444444
上海,2025,ssp119,p90,92.11,11.197444154444446,9,103.30744415444444
上海,2026,ssp119,p90,89.98,11.197444154444446,9,101.17744415444444
上海,2027,ssp119,p90,79.63,11.197444154444446,9,90.82744415444444
上海,2028,ssp119,p90,83.4,11.197444154444446,9,94.59744415444445
上海,2029,ssp119,p90,83.18,11.197444154444446,9,94.37744415444445
上海,2030,ssp119,p90,91.76,11.197444154444446,9,102.95744415444445
上海,2031,ssp119,p90,82.21,11.197444154444446,9,93.40744415444443
上海,2032,ssp119,p90,84.21,11.197444154444446,9,95.40744415444443
上海,2033,ssp119,p90,89.79,11.197444154444446,9,100.98744415444445
上海,2034,ssp119,p90,80.55,11.197444154444446,9,91.74744415444444
上海,2035,ssp119,p90,89.32,11.197444154444446,9,100.51744415444443
上海,2036,ssp119,p90,83.2,11.197444154444446,9,94.39744415444444
上海,2037,ssp119,p90,83.98,11.197444154444446,9,95.17744415444444
上海,2038,ssp119,p90,84.92,11.197444154444446,9,96.11744415444444
上海,2039,ssp119,p90,84.87,11.197444154444446,9,96.06744415444444
上海,2040,ssp119,p90,81.25,11.197444154444446,9,92.44744415444444
上海,2041,ssp119,p90,84.72,11.197444154444446,9,95.91744415444444
上海,2042,ssp119,p90,86.87,11.197444154444446,9,98.06744415444444
上海,2043,ssp119,p90,85.19,11.197444154444446,9,96.38744415444444
上海,2044,ssp119,p90,80.0,11.197444154444446,9,91.19744415444444
上海,2045,ssp119,p90,84.47,11.197444154444446,9,95.66744415444444
上海,2046,ssp119,p90,80.11,11.197444154444446,9,91.30744415444444
上海,2047,ssp119,p90,79.9,11.197444154444446,9,91.09744415444445
上海,2048,ssp119,p90,77.27,11.197444154444446,9,88.46744415444444
上海,2049,ssp119,p90,83.69,11.197444154444446,9,94.88744415444444
上海,2050,ssp119,p90,80.96,11.197444154444446,9,92.15744415444443
山西,2024,ssp119,p90,57.96,-27.233164706666667,9,30.726835293333334
山西,2025,ssp119,p90,56.98,-27.233164706666667,9,29.74683529333333
山西,2026,ssp119,p90,56.35,-27.233164706666667,9,29.116835293333335
山西,2027,ssp119,p90,60.27,-27.233164706666667,9,33.03683529333334
山西,2028,ssp119,p90,61.15,-27.233164706666667,9,33.916835293333335
山西,2029,ssp119,p90,55.03,-27.233164706666667,9,27.796835293333334
山西,2030,ssp119,p90,58.8,-27.233164706666667,9,31.56683529333333
山西,2031,ssp119,p90,59.2,-27.233164706666667,9,31.966835293333336
山西,2032,ssp119,p90,55.99,-27.233164706666667,9,28.756835293333335
山西,2033,ssp119,p90,58.28,-27.233164706666667,9,31.046835293333334
山西,2034,ssp119,p90,57.47,-27.233164706666667,9,30.236835293333332
山西,2035,ssp119,p90,56.13,-27.233164706666667,9,28.896835293333336
山西,2036,ssp119,p90,56.39,-27.233164706666667,9,29.156835293333334
山西,2037,ssp119,p90,57.48,-27.233164706666667,9,30.24683529333333
山西,2038,ssp119,p90,56.26,-27.233164706666667,9,29.02683529333333
山西,2039,ssp119,p90,55.07,-27.233164706666667,9,27.836835293333333
山西,2040,ssp119,p90,56.09,-27.233164706666667,9,28.856835293333337
山西,2041,ssp119,p90,54.14,-27.233164706666667,9,26.906835293333334
山西,2042,ssp119,p90,54.73,-27.233164706666667,9,27.49683529333333
山西,2043,ssp119,p90,55.17,-27.233164706666667,9,27.936835293333335
山西,2044,ssp119,p90,57.06,-27.233164706666667,9,29.826835293333335
山西,2045,ssp119,p90,54.68,-27.233164706666667,9,27.446835293333333
山西,2046,ssp119,p90,55.54,-27.233164706666667,9,28.306835293333332
山西,2047,ssp119,p90,56.41,-27.233164706666667,9,29.17683529333333
山西,2048,ssp119,p90,54.74,-27.233164706666667,9,27.506835293333335
山西,2049,ssp119,p90,57.96,-27.233164706666667,9,30.726835293333334
山西,2050,ssp119,p90,54.38,-27.233164706666667,9,27.146835293333336
四川,2024,ssp119,p90,48.17,-27.406989282222224,9,20.763010717777778
四川,2025,ssp119,p90,48.76,-27.406989282222224,9,21.353010717777774
四川,2026,ssp119,p90,46.85,-27.406989282222224,9,19.443010717777778
四川,2027,ssp119,p90,47.53,-27.406989282222224,9,20.123010717777778
四川,2028,ssp119,p90,47.6,-27.406989282222224,9,20.193010717777778
四川,2029,ssp119,p90,48.92,-27.406989282222224,9,21.513010717777778
四川,2030,ssp119,p90,47.17,-27.406989282222224,9,19.763010717777778
四川,2031,ssp119,p90,48.25,-27.406989282222224,9,20.843010717777776
四川,2032,ssp119,p90,47.86,-27.406989282222224,9,20.453010717777776
四川,2033,ssp119,p90,47.07,-27.406989282222224,9,19.663010717777777
四川,2034,ssp119,p90,48.38,-27.406989282222224,9,20.97301071777778
四川,2035,ssp119,p90,47.27,-27.406989282222224,9,19.86301071777778
四川,2036,ssp119,p90,46.95,-27.406989282222224,9,19.54301071777778
四川,2037,ssp119,p90,46.59,-27.406989282222224,9,19.18301071777778
四川,2038,ssp119,p90,46.37,-27.406989282222224,9,18.963010717777774
四川,2039,ssp119,p90,46.86,-27.406989282222224,9,19.453010717777776
四川,2040,ssp119,p90,47.72,-27.406989282222224,9,20.313010717777775
四川,2041,ssp119,p90,47.03,-27.406989282222224,9,19.623010717777778
