Province,province,province_code,scenario,statistic,future_reference_n,future_tas_sum,hist_reference_n,hist_tas_sum,reference_n,tas_ref_1991_2020,reference_period,reference_method,reference_hist_years,reference_future_years
天津,Tianjin Shi,CHN.147295926,ssp585,p10,6,76.99,24,296.15,30,12.437999999999999,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
天津,Tianjin Shi,CHN.147295926,ssp585,p90,6,87.99,24,329.67,30,13.922,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
宁夏,Ningxia Huizu Zizhiqu,CHN.147295918,ssp119,median,6,56.980000000000004,24,213.06,30,9.001333333333333,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
宁夏,Ningxia Huizu Zizhiqu,CHN.147295918,ssp119,p10,6,51.92,24,195.53,30,8.248333333333333,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
宁夏,Ningxia Huizu Zizhiqu,CHN.147295918,ssp119,p90,6,61.42,24,227.57,30,9.633000000000001,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
宁夏,Ningxia Huizu Zizhiqu,CHN.147295918,ssp126,median,6,57.18,24,213.06,30,9.008000000000001,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
宁夏,Ningxia Huizu Zizhiqu,CHN.147295918,ssp126,p10,6,51.91,24,195.53,30,8.248,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
宁夏,Ningxia Huizu Zizhiqu,CHN.147295918,ssp126,p90,6,61.69,24,227.57,30,9.642,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
宁夏,Ningxia Huizu Zizhiqu,CHN.147295918,ssp245,median,6,57.16,24,213.06,30,9.007333333333333,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
宁夏,Ningxia Huizu Zizhiqu,CHN.147295918,ssp245,p10,6,52.19,24,195.53,30,8.257333333333333,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
宁夏,Ningxia Huizu Zizhiqu,CHN.147295918,ssp245,p90,6,61.76,24,227.57,30,9.644333333333332,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
宁夏,Ningxia Huizu Zizhiqu,CHN.147295918,ssp370,median,6,56.45,24,213.06,30,8.983666666666666,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
宁夏,Ningxia Huizu Zizhiqu,CHN.147295918,ssp370,p10,6,51.35,24,195.53,30,8.229333333333333,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
宁夏,Ningxia Huizu Zizhiqu,CHN.147295918,ssp370,p90,6,61.0,24,227.57,30,9.619,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
宁夏,Ningxia Huizu Zizhiqu,CHN.147295918,ssp585,median,6,57.86,24,213.06,30,9.030666666666667,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
宁夏,Ningxia Huizu Zizhiqu,CHN.147295918,ssp585,p10,6,52.34,24,195.53,30,8.262333333333334,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
宁夏,Ningxia Huizu Zizhiqu,CHN.147295918,ssp585,p90,6,62.24,24,227.57,30,9.660333333333334,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
安徽,Anhui Sheng,CHN.147295898,ssp119,median,6,99.65,24,386.71,30,16.212,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
