Province,Year,scenario,statistic,省平均气温,additive_bias,overlap_n,省平均气温_aligned
浙江,2049,ssp119,p10,17.66,0.05392073444444476,9,17.713920734444446
浙江,2050,ssp119,p10,17.57,0.05392073444444476,9,17.623920734444447
浙江,2024,ssp119,p90,18.7,-1.491634821111112,9,17.208365178888887
浙江,2025,ssp119,p90,18.69,-1.491634821111112,9,17.19836517888889
浙江,2026,ssp119,p90,18.82,-1.491634821111112,9,17.328365178888887
浙江,2027,ssp119,p90,18.79,-1.491634821111112,9,17.298365178888886
浙江,2028,ssp119,p90,18.93,-1.491634821111112,9,17.438365178888887
浙江,2029,ssp119,p90,18.78,-1.491634821111112,9,17.28836517888889
浙江,2030,ssp119,p90,18.87,-1.491634821111112,9,17.378365178888888
浙江,2031,ssp119,p90,19.02,-1.491634821111112,9,17.528365178888887
浙江,2032,ssp119,p90,18.98,-1.491634821111112,9,17.488365178888888
浙江,2033,ssp119,p90,19.04,-1.491634821111112,9,17.548365178888886
浙江,2034,ssp119,p90,18.91,-1.491634821111112,9,17.418365178888887
浙江,2035,ssp119,p90,19.1,-1.491634821111112,9,17.60836517888889
浙江,2036,ssp119,p90,19.01,-1.491634821111112,9,17.51836517888889
浙江,2037,ssp119,p90,19.03,-1.491634821111112,9,17.53836517888889
浙江,2038,ssp119,p90,19.17,-1.491634821111112,9,17.67836517888889
浙江,2039,ssp119,p90,19.17,-1.491634821111112,9,17.67836517888889
浙江,2040,ssp119,p90,19.13,-1.491634821111112,9,17.638365178888886
浙江,2041,ssp119,p90,19.27,-1.491634821111112,9,17.778365178888887
浙江,2042,ssp119,p90,19.2,-1.491634821111112,9,17.708365178888887
浙江,2043,ssp119,p90,19.39,-1.491634821111112,9,17.898365178888888
浙江,2044,ssp119,p90,19.06,-1.491634821111112,9,17.568365178888886
浙江,2045,ssp119,p90,19.28,-1.491634821111112,9,17.78836517888889
浙江,2046,ssp119,p90,19.31,-1.491634821111112,9,17.818365178888886
浙江,2047,ssp119,p90,19.27,-1.491634821111112,9,17.778365178888887
浙江,2048,ssp119,p90,19.22,-1.491634821111112,9,17.728365178888886
浙江,2049,ssp119,p90,19.19,-1.491634821111112,9,17.69836517888889
