Province,Year,role_id,role_label,model_id,scheme_id,scheme_source,fe_label,scenario_id,scenario_label,scenario_family,scenario_description,statistic,baseline_pred,scenario_adjustment,scenario_pred,delta_vs_baseline,rx1day_baseline,rx1day_scenario,rx1day_delta,baseline_mode,baseline_mode_label
福建,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,21.884734623855326,0.5700894201731449,22.45482404402847,0.5700894201731437,36.12441289967077,55.258299613333335,19.133886713662562,lancet_ets,Lancet-like ETS baseline
西藏,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,28.19774283428031,0.26270480720943523,28.460447641489743,0.2627048072094347,-0.5629474846893467,8.25420267177778,8.817150156467125,lancet_ets,Lancet-like ETS baseline
贵州,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,19.382641036551693,0.07418221935458796,19.45682325590628,0.07418221935458646,34.739959623708856,37.229734264444446,2.4897746407355896,lancet_ets,Lancet-like ETS baseline
辽宁,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,18.81700783666134,-0.35752391400492056,18.459483922656418,-0.357523914004922,62.220191963655544,50.220632200000004,-11.99955976365554,lancet_ets,Lancet-like ETS baseline
重庆,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,29.712679948108168,0.08700090141359618,29.799680849521764,0.08700090141359595,43.86207973077786,46.78208724666666,2.9200075158888055,lancet_ets,Lancet-like ETS baseline
陕西,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,31.853071955908835,-0.13269192703961505,31.72038002886922,-0.13269192703961608,31.38664933461126,26.933115888888892,-4.453533445722368,lancet_ets,Lancet-like ETS baseline
青海,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,25.122361507963134,0.043911349230975866,25.16627285719411,0.043911349230974395,5.951731028433,7.425525755888889,1.4737947274558891,lancet_ets,Lancet-like ETS baseline
黑龙江,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,28.704012042104328,-0.12315455827875196,28.580857483825575,-0.12315455827875255,26.89610696780329,22.762675820000002,-4.1334311478032895,lancet_ets,Lancet-like ETS baseline
上海,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,p10,28.629659469950855,-0.5038466683870043,28.12581280156385,-0.5038466683870055,115.39469490289476,98.48411082111112,-16.91058408178364,lancet_ets,Lancet-like ETS baseline
云南,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,p10,29.920048155908628,0.18624067020177218,30.1062888261104,0.18624067020177293,20.84046911840916,27.09125673,6.250787611590841,lancet_ets,Lancet-like ETS baseline
