Province,Year,role_id,role_label,model_id,scheme_id,scheme_source,fe_label,scenario_id,scenario_label,scenario_family,scenario_description,statistic,baseline_pred,scenario_adjustment,scenario_pred,delta_vs_baseline,rx1day_baseline,rx1day_scenario,rx1day_delta
山西,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,-0.5277752171930432,-0.001816910972391791,-0.529592128165435,-0.0018169109723917831,31.23025230049783,30.879057515555555,-0.3511947849422761
广东,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,5.138247925257774,0.3683264067165178,5.506574331974292,0.36832640671651795,-8.631537342966666,62.563097485555545,71.19463482852221
广西,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,-0.21951454013270338,0.21633520717756313,-0.0031793329551402516,0.21633520717756313,6.445867726925684,48.26178370444444,41.815915977518756
新疆,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,-1.615751391681955,-0.001235047580411686,-1.6169864392623667,-0.0012350475804117078,3.9681688680408773,3.729443759333333,-0.23872510870754438
江苏,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,-2.104716146646079,-0.012841753791739033,-2.117557900437818,-0.01284175379173913,65.94019129570692,63.457979987777776,-2.4822113079291483
江西,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,-0.6696433778417789,-0.014199474661999039,-0.6838428525037779,-0.014199474661999001,52.036710167827735,49.292061956666664,-2.7446482111610706
河北,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,-1.1361417754568208,-0.22281748163077605,-1.3589592570875968,-0.22281748163077597,82.19397863597658,39.125089333333335,-43.06888930264324
河南,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,-2.2559194618414597,-0.4468418918987296,-2.7027613537401893,-0.4468418918987296,130.78396645835275,44.41289791777778,-86.37106854057498
浙江,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,-1.4879430267400584,0.36985410318338585,-1.1180889235566727,0.36985410318338574,-14.404012986043568,57.08591370888889,71.48992669493245
海南,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,-0.9911133450735643,0.15335432378230052,-0.8377590212912638,0.15335432378230052,67.50588193236415,97.14808211666666,29.64220018430251
湖北,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,-0.5704373498512617,0.032416520302921845,-0.5380208295483399,0.03241652030292186,37.339883522154366,43.60574522333334,6.26586170117897
湖南,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,-0.37044290573900596,0.02766995773921804,-0.3427729479997879,0.027669957739218043,32.73558223131605,38.08397024,5.348388008683948
甘肃,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,-0.6137079405339085,0.006073959340511449,-0.6076339811933971,0.00607395934051147,8.398881438664631,9.572930622555555,1.174049183890924
福建,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,-0.7942639869408353,0.09898942183970379,-0.6952745651011315,0.09898942183970383,36.12441289967077,55.258299613333335,19.133886713662562
西藏,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,-0.6786811404925376,0.04561564565129927,-0.6330654948412383,0.045615645651299275,-0.5629474846893467,8.25420267177778,8.817150156467125
贵州,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,-2.419957974837712,0.012880882796362871,-2.4070770920413493,0.01288088279636268,34.739959623708856,37.229734264444446,2.4897746407355896
辽宁,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,-0.6382590150455132,-0.06207988481958891,-0.7003388998651021,-0.062079884819588926,62.220191963655544,50.220632200000004,-11.99955976365554
重庆,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,-0.6470435131980381,0.01510669839803255,-0.6319368148000055,0.01510669839803258,43.86207973077786,46.78208724666666,2.9200075158888055
陕西,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,-0.3893963084600473,-0.023040415548245607,-0.4124367240082929,-0.023040415548245596,31.38664933461126,26.933115888888892,-4.453533445722368
青海,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,-1.2654143900796568,0.007624696966408262,-1.2577896931132486,0.007624696966408218,5.951731028433,7.425525755888889,1.4737947274558891
黑龙江,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,-0.6749505041806803,-0.02138436197822294,-0.6963348661589032,-0.02138436197822291,26.89610696780329,22.762675820000002,-4.1334311478032895
上海,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,p10,-1.7640466118732165,-0.08748713558715501,-1.8515337474603715,-0.08748713558715493,115.39469490289476,98.48411082111112,-16.91058408178364
云南,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,p10,-0.48168433776130315,0.032338534296449714,-0.4493458034648534,0.03233853429644973,20.84046911840916,27.09125673,6.250787611590841
内蒙古,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,p10,-0.46071879805893956,-0.012187736841249614,-0.4729065349001892,-0.01218773684124963,12.931681364238123,10.575886455222221,-2.355794909015902
北京,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,p10,0.782759245415179,-0.05990877294615614,0.7228504724690229,-0.05990877294615615,85.51864526557621,73.93874457111112,-11.579900694465096
吉林,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,p10,-0.20868201626635804,-0.04746554847203299,-0.25614756473839106,-0.04746554847203302,43.92574370177605,34.751021692222224,-9.174722009553825
四川,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,p10,-0.5517558030277114,0.023298947534435357,-0.528456855493276,0.0232989475344354,15.418393935188469,19.921899606666667,4.503505671478198
