scheme,fe_spec,predictor,coef,p_value,ci_low,ci_high
方案D_城市气候组,NoYes_YearFE,PM2.5,-0.0213654438754232,0.7831789759109637,-0.1740389322226977,0.13130804447185132
方案D_城市气候组,NoYes_YearFE,抗菌药物使用强度,0.11972247887301507,0.0011806010869692685,0.04779692944998641,0.19164802829604372
方案D_城市气候组,NoYes_YearFE,GDP,0.13361424250246193,0.06194846042538882,-0.006721789675653178,0.27395027468057703
方案D_城市气候组,NoYes_YearFE,文盲比例,0.01081636898085012,0.8161617041177576,-0.08067119568664015,0.10230393364834038
方案D_城市气候组,NoYes_YearFE,建成区绿化覆盖率,0.21031505200071868,0.029271574265586242,0.02136082284219662,0.39926928115924076
方案D_城市气候组,NoYes_YearFE,"牲畜饲养
-猪年底头数",0.10255544690461937,0.2601284581553154,-0.0763420525735235,0.28145294638276225
方案D_城市气候组,YesNo_EntityFE,主要城市平均气温,0.04860549251138095,0.8380452965091005,-0.4191382914551851,0.516349276477947
方案D_城市气候组,YesNo_EntityFE,R1xday,-0.012698804314121709,0.5907332841301574,-0.0591347778484194,0.03373716922017598
方案D_城市气候组,YesNo_EntityFE,PM2.5,0.08608131471589137,0.01599984727335957,0.016171760855038964,0.15599086857674377
方案D_城市气候组,YesNo_EntityFE,抗菌药物使用强度,-0.009799850562819156,0.5996541858995363,-0.04651467719841576,0.026914976072777444
方案D_城市气候组,YesNo_EntityFE,GDP,-0.30272130063211794,0.014331163371083866,-0.5445183373853193,-0.06092426387891664
方案D_城市气候组,YesNo_EntityFE,文盲比例,0.15263968802378294,0.019265248571143978,0.025005345012809044,0.28027403103475684
方案D_城市气候组,YesNo_EntityFE,建成区绿化覆盖率,-0.15518206815981583,0.010124252358258756,-0.27315038630655364,-0.037213750013078056
方案D_城市气候组,YesNo_EntityFE,"牲畜饲养
-猪年底头数",0.14566490452128664,0.07413465717108902,-0.014305643414819602,0.3056354524573929
方案D_城市气候组,YesYes_TwoWayFE,主要城市平均气温,0.10570245667782552,0.6399763889915246,-0.3387848230862024,0.5501897364418534
方案D_城市气候组,YesYes_TwoWayFE,R1xday,-0.009058381122007972,0.6041245926064742,-0.043419725521005495,0.025302963276989554
方案D_城市气候组,YesYes_TwoWayFE,PM2.5,-0.009684585516514832,0.8012685105346975,-0.08537211405850766,0.066002943025478
方案D_城市气候组,YesYes_TwoWayFE,抗菌药物使用强度,0.009942843930565725,0.49400759180598897,-0.018643177299017478,0.03852886516014893
方案D_城市气候组,YesYes_TwoWayFE,GDP,0.0034530245560036948,0.9747739380900999,-0.21136984242618218,0.21827589153818955
方案D_城市气候组,YesYes_TwoWayFE,文盲比例,0.12097314654328165,0.03756864786208869,0.007008928707293735,0.23493736437926954
