AMR,Predictor,Coef,CI_lo,CI_hi,p,N,R2_within
CRAB,R1xday,-0.37475186896218887,-1.2681616836685508,0.5186579457441729,0.41200811282539673,239,0.26493699674605764
CRAB,PM2.5,0.19973593686168792,-2.3605407823056255,2.760012656029001,0.8786319113281933,239,0.26493699674605764
CRAB,医疗水平,0.09185369501095277,-3.6126955050011995,3.796402895023105,0.9612900121717523,239,0.26493699674605764
CRAB,GDP,-5.9945997798051955,-10.892327115805,-1.0968724438053918,0.017393737113461594,239,0.26493699674605764
CRAB,城市用水普及率,-2.405333156127467,-5.5705001051085485,0.7598337928536143,0.1379933195409746,239,0.26493699674605764
CRAB,生活垃圾无害化处理率,-1.5815726728055937,-2.561936758409998,-0.6012085872011891,0.0018201709921603637,239,0.26493699674605764
CRAB,抗菌药物使用强度,0.33731081201334523,-0.4877031797240441,1.1623248037507345,0.42391155963540195,239,0.26493699674605764
主要城市平均气温,省平均气温,7.227618412087695,5.279162397049129,9.176074427126261,8.701928067011977e-12,239,0.6535151360653579
主要城市平均气温,省平均降水,-0.20353920280743643,-0.43609118293628746,0.029012777321414607,0.08786323640873928,239,0.6535151360653579
主要城市平均气温,R1xday,0.008808789613845557,-0.04373710727421018,0.06135468650190129,0.7428337575922783,239,0.6535151360653579
主要城市平均气温,PM2.5,0.009108374986785784,-0.046694716837248726,0.06491146681082029,0.7493765309148066,239,0.6535151360653579
主要城市平均气温,医疗水平,-0.08058511239866609,-0.2825208992364796,0.12135067443914746,0.4350769859250594,239,0.6535151360653579
主要城市平均气温,GDP,0.09922702354515313,-0.041769860232506464,0.24022390732281274,0.16938105620870925,239,0.6535151360653579
主要城市平均气温,城市用水普及率,0.03691726999864696,-0.06224433938670895,0.13607887938400287,0.46646059452042676,239,0.6535151360653579
主要城市平均气温,生活垃圾无害化处理率,0.021779919920475344,-0.009442584607800328,0.053002424448751015,0.17314047545669098,239,0.6535151360653579
主要城市平均气温,抗菌药物使用强度,0.05355055977136192,-0.0044443172841545225,0.11154543682687837,0.07188256626208656,239,0.6535151360653579
主要城市降水量,省平均气温,-442.9993573575431,-1663.245630853904,777.2469161388177,0.47759628752371475,239,0.3009334031465256
主要城市降水量,省平均降水,473.3128573894834,132.66860108869787,813.9571136902689,0.007055031116508292,239,0.3009334031465256
主要城市降水量,R1xday,23.360994141351362,-26.88438454059456,73.60637282329728,0.36328526848172293,239,0.3009334031465256
主要城市降水量,PM2.5,-17.833877127105218,-55.20704517627095,19.539290922060516,0.3508124578011387,239,0.3009334031465256
主要城市降水量,医疗水平,-45.9276845450735,-173.85694018752787,82.00157109738089,0.48249471183146264,239,0.3009334031465256
主要城市降水量,GDP,-279.8616740058033,-396.55243622287185,-163.17091178873477,4.922989852218507e-06,239,0.3009334031465256
主要城市降水量,城市用水普及率,59.13884192803544,-17.159202543460573,135.43688639953146,0.13034815086555018,239,0.3009334031465256
主要城市降水量,生活垃圾无害化处理率,-14.338245199941074,-45.78832470779726,17.11183430791511,0.3726629696123811,239,0.3009334031465256
主要城市降水量,抗菌药物使用强度,-1.2055634266718167,-20.16297714319539,17.75185028985176,0.9009361024071545,239,0.3009334031465256
主要城市日照时数,省平均气温,1476.3973522383278,293.9326403679411,2658.8620641087145,0.015291445716788976,239,-0.32469914802612565
主要城市日照时数,省平均降水,-142.9654985463771,-288.36007549871147,2.4290784059573127,0.05541621525939244,239,-0.32469914802612565
主要城市日照时数,R1xday,-2.91968404389266,-31.94152843928758,26.102160351502263,0.8438927415037349,239,-0.32469914802612565
主要城市日照时数,PM2.5,-1.3015414384761863,-72.44317397746639,69.840091100514,0.9714323704427306,239,-0.32469914802612565
主要城市日照时数,医疗水平,145.1360331549065,-54.021478557868306,344.2935448676813,0.15480742827312355,239,-0.32469914802612565
主要城市日照时数,GDP,211.4330592275877,21.674629686149927,401.19148876902545,0.030177145022918905,239,-0.32469914802612565
主要城市日照时数,城市用水普及率,-49.30926578022753,-139.49046918722732,40.87193762677226,0.2851982330908285,239,-0.32469914802612565
主要城市日照时数,生活垃圾无害化处理率,3.2712549204154717,-73.15215859084823,79.69466843167918,0.9332256500049321,239,-0.32469914802612565
主要城市日照时数,抗菌药物使用强度,6.068710513202958,-30.256668069552205,42.39408909595812,0.7436839686328574,239,-0.32469914802612565
TA（°C）,省平均气温,6.5888592316453165,6.588859219084386,6.588859244206247,0.0,239,0.9999999999999999
TA（°C）,省平均降水,7.916461655675102e-10,-1.6144661053367856e-09,3.197758436471806e-09,0.5197780650208643,239,0.9999999999999999
TA（°C）,R1xday,-1.582176846872136e-10,-5.757028568292511e-10,2.5926748745482384e-10,0.45850783722757527,239,0.9999999999999999
TA（°C）,PM2.5,-1.60833886427056e-10,-9.915316762736068e-10,6.698639034194948e-10,0.7047475715341553,239,0.9999999999999999
TA（°C）,医疗水平,-9.528256688503851e-11,-2.289951997664597e-09,2.09938686389452e-09,0.9322746382091773,239,0.9999999999999999
TA（°C）,GDP,2.108229066021693e-10,-8.072450125697875e-10,1.2288908257741262e-09,0.6852807687267404,239,0.9999999999999999
TA（°C）,城市用水普及率,-2.434702840751611e-10,-1.0367046577592387e-09,5.497640896089164e-10,0.5481531685489602,239,0.9999999999999999
TA（°C）,生活垃圾无害化处理率,1.6196528475074714e-11,-3.3833460074585276e-10,3.707276576960022e-10,0.9287445447304814,239,0.9999999999999999
TA（°C）,抗菌药物使用强度,5.493181334355117e-11,-4.336638502678523e-10,5.435274769549546e-10,0.8258246502663051,239,0.9999999999999999
PA（%）,省平均气温,-15.994658068631187,-46.10554537395997,14.116229236697597,0.2991148730045192,239,0.7124128706278432
PA（%）,省平均降水,41.30684281081795,33.7100268364929,48.903658785142994,0.0,239,0.7124128706278432
PA（%）,R1xday,1.3187962714389405,-0.7047239465529263,3.3423164894308073,0.2029962644273331,239,0.7124128706278432
PA（%）,PM2.5,-1.5803935216882887,-3.54692403208451,0.38613698870793245,0.11686067729646443,239,0.7124128706278432
